post,implied statement
 and i will point it out here when u call white people white supremacist just cause they disagree with you it s like me calling you the n word with no proof,Blacks blame whites
 antiwhites expose their hatred of white kids after seeing this picture white child white supremacy,Anti-whites hate white people
 interior sec y salazar pushing for hispanic national parks next asian n p islamic n p etc,Minorities are taking over society
 national socialism is race based which means that we look at every issue with the thought is it good or harmful to the white race,Minorities are subpar races
 sez the cop hater in chief the terrorist said i want to kill white people but obama has a soros narrative to push,Blacks do the bidding of jews
 the media is fake news the splc and adl have no legitimacy they hate white people and the south,Journalists are dishonest
 uk conve  to islam i can t love my mum because she s not muslim islamophobia tcot antimuslim,Muslims are hateful.
 when will share an uncomfo able truth about a race other than the white race or does the bbc just hate europeans,Media hates Europeans.
2018 im white 2019 im white and im not apologizing 2020 we are white and not sorry,Minorities are substandard people
africansrcalling white people mental 4wearing clean clothes,Africans don't like white people.
america s sheriffs very white sheriffs,Whites use power to keep others down
and dems esp city govts are the ones who want poor people to think they can t make it off the dem plantation,That democrats don't help poor people
and our 6 to 10 are high iq high agency creative young white men you jews are only 2,Young white men are smarter than Jews.
and stats show he ll likely shoot a black man so all you white hostages can just leave,Black people are killed more than white people.
and you ll be competing with excessive immigration keeping your wage down to 3rd world levels,immigrants cause wages to plummet for the average citizen
anti white racism has reached critical mass in america video via,non-white people are racist
are you fucking racist and high that kid was pummeled beyond belief by pigs they deserve j,Police are pigs and kill people.
austria is one of first to get sma  about creeping islam rest of europe should build more hospitals or depo ,muslims are violent
because it s totally out of the question for a muslim to kill white christians right,Muslims are violent
border wall build it,Immigrants shouldn't be in the country.
bring back slavery oh well there goes the 433k cotton stripper,Black people are only good for labor
bullets are cheaper than trials or housing him for a day,Immigrants should be killed
christmas pa y for white unity in southcarolina all normal white people and families invited,White people need to stick together.
cool so when black people kill each other you can t blame the white man,Black people are violent.
cos nothing says we ve got you sorry for treating you like shit than 3rd tier citizen,immigrants must be abused
credibility of white race will be lost if they reso  2 lies cheating on taliban isis,White people are liars.
cut off all funding to california let them take care of their illegals alone liberalism,Immigrants don't deserve any help
disgraceful embarrassing please have all incoming refugees from the banned countries go to hawaii,Immigrants should be deported
don t let him in brits they are either in victim mode or supremacist mode once inside uk he ll be a islam supremacist,Muslims are terrorists
for the good of the american people defund santuary cities the are a lawless haven for criminal illegals,Illegal immigrants bring crime to cities
friday deadline to sign our letter to congress 2 stop syrianrefugees fr coming to ur state,Syrian refugees are not welcomed in their state.
from what i m reading here in the us it s racial hate from blacks on white and especially the farmer,Blacks hate whites
good british ginga grenes from neande hals,Immigrants are inferior
great new posts at white america awake rally this july 23rd,Minorities are second class
he has openly advocated to kill white men can t trust muslims,Muslims are out to kill whites.
hey jared jews may look white but they sure dont act white daily stormer,Jews are not white
hey wants to join as he she is the perfect racist seems 2hate white people be gms new friend,White people are bad.
humans must give up primitive food like meat of dog or beef or camel or donkey etc,Asian people are primitive beings because they only eat exotic foods
i believe you mean stand with white sheriffs you racist little rodents getbackinyourbasket,white people are racist
i dont care i care about my people i want total separation with other races total apathy is my policy i know its so wayciss right,non-white people should be segregated
i e it s not ok to be white in minnesota,White people are not allowed in Minnesota.
I expect no patriotism from anyone that works in Seattle Nuke the city No loss,People who are not patriots must be exterminated
i m all for white euro nationalism and to a greater extent global nationalism too much hate in the world,White people should rule the world.
i ve even seen polling that puts us closer to 9 but still we already have the numbers for a nice little ethnostate,Minorities are subpar.
if anyone in the doj actually cared they would investigate these sanctuary suppo ing scumbags stop this violence dc is all talk,Muslims are scum and deserve to stop receiving support
if they don t say upfront they are for the white race its because they aren t,Minorities despise whites.
if we get a wall mass depo ations and a muslim ban i will be a little happier,Immigrants should be deported
illegal immigrants are not americans dems have no right to an opinion depo  depro  depor,Illegal immigrants should get deported
illegal immigration is theft,Immigrants are thieves.
is dividing our country what were small groups of hate kkk neonazis etc now have droves of crazies flocking to them well done dnc,Supremacists are loony
islam is not a race obama white house wants to change that via,Blacks want special privileges.
islamist wanting to kill jews who would have thought islam,Islamic people are murderers.
january 20th is an impo ant day roll these people up and throw them out,Immigrants must be thrown out of the country.
jewish antihate have pages documenting antimuslim bigotry of coho s,Jews are against Muslims.
jews push 4immigration and white genocide,Jews advocate for an end to whites.
kick his whole family out as puniahment send message let no more in wall off coast ya cuck,Immigrants should be deported
kkk alive and well white brother hood unite ku klux klan hey do u recruit kinderga ners,White people are racist.
latest track ethnostate 2088,Minorities are inferior to the white race
liberal scientists developing methods to make white people less resistant to non white invasion swrm,Liberals try to control others.
like hitler said sin against the blood is the original sin and an end to the humanity which suffers from it,Minorities are second class people
lmao it s always the jews who stage these so called hate crimes,Jews are evil.
look at the middle east when it was a colony run by white people now look at it,people from middle east are not capable of running their country.
marie why didn t you come legally,Immigrants are all illegal
migrants change uk forever white britons will be in minority by 2066 via,Immigrants want to displace natives
more stupid nonsense by the racists of the vladimir putin alt right white nationalist ku klux klan wing,White nationalists are racists.
moved out in 2015 so greatful i did when i see this crap california the sewer state,Illegal immigrants are gross
no wonder white men are committing suicide rubio runs anti white men campaign their wives daughters suppo  him,White men kill themselves.
now try something correct by loser let us in the real world do,"No stereotype, poor grammar."
ns might of glorified an aryan race as superior but they weren t racist like these skinheads you see today,White people are racist skinheads
only ce ain groups of whites are degenerate,Jews are degenerates
pegida is all about saving white race from onslaught of islam hitler was saving his race from ill effects his people voted 4him,Muslims want to conquer the white race
please move far away to a small racist white island and leave the melting pot alone,White people are racist.
poor white people via,white people are poor
put um in rubber rafts just off shore let them work it out its really not our problem only depo ,IMMIGRANTS BRING PROBLEMS
rooney stfu you go to mexico and live you love them so much tell you what move about a thousand into your neighborhood then you would change your tune,Immigrants are unpleasant to be around
shut your mouth you re clinically obese and talentless no white man wo h his salt would look at you anyway,White men don't like fat women.
since the invasion of diversity good white men have to be cops and not stem students so diversity kill,Minorities are substandard
sorry the klan was sta ed by democrats stop trolling,Democrats are racists.
sorry to say but you can take the kid out of the ghetto but not the ghetto out of the kid no reason whatsoever to do what they did,Blacks are always going to act in poor and scummy ways
thank you time to stop white flight sta  the white fight,Minorities are pushing out whites.
the secret life of a hateful homophobic activist lgbt queer hate,Gay people are hateful.
the white workingclass is the most oppressed demographic in the unitedstates wakeup fightback,non-white people are oppressors
this the white race s response or lack thereof 2 these attempts 2 eradicate our past,Minorities kill out white culture
this thing is crushing feels like a big defeat all sides denying altright viewsfromthenotsogreatwhiteno h,Minorities are trying to destroy whites.
to grant amnesty is to pardon immigration lawbreakers and reward them noamnesty,Immigrants should be pardoned.
us murders concentrated in non white counties swrm us via,USA murders non-white people
very true if they do not trust indians and india they should move out individual choice no sweat extreme views sad,Immigrants don't trust Indians and should get out of India
we could easily solve the whole muslim problem if we armed them all with light weapons isolated them,Muslims should be killed
we have the blueprint for a white neoconservative revolution,White people are conservatives.
when i was a little girl i was a diego italian looked down on by teachers now i am a white racist give me a brake,whites are racists
when muslims become devout they turned into violent savage beasts when they aren t they re decent human beings read the book,Muslims which are devout to their religion are no better than violent animals.
white homeland in every state,non-white people are undesirable
white people are supreme get over it,Minorities are substandard races.
white trash white person procreating with a non white,Implying white people that have kids with black people are trash people.
why not love hate the donald loves hate white nationalists love hate let s love hate,Minorities are inferior.
why should the white race not enjoy a homeland of their own making why should anyone actively seek to replace them that makes no sense,White people are being replaced by minorities
wow robe  sounds like a 10 year old stamping his feet and saying it s not fair poor insecure thing much love,Robert is insecure.
yea we were better offwith the floppy eared gayblade and his manly wife shipping our 401ks and savin,the group is wasting money.
you go guys white power,White people are powerful.
